ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: stackable_optimized_css,Meta: rank_math_seo_score,Meta: rank_math_focus_keyword,Meta: rank_math_primary_product_cat,Meta: _dwps_table,Meta: _wcsob_hide,Meta: rank_math_primary_product_brand,Meta: rank_math_title
14166,simple,,,7Cr13MoV Olive Wood / Rosewood Fixed Blade Knife LKFBK10011,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10011-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10011-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10011-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10011-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10011-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10011-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10011-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10011-8.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14167,simple,,,12C27 Rubber Fixed Blade Knife LKFBK10012,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10012-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10012-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10012-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10012-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10012-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10012-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10012-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10012-8.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10012-9.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14168,simple,,,9Cr18MoV G10 Fixed Blade Knife LKFBK10013,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10013-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10013-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10013-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10013-4.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14169,simple,,,440C GRN Fixed Blade Knife LKFBK10014,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10014-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10014-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10014-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10014-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10014-5.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14170,simple,,,D2 Micarta Fixed Blade Knife LKFBK10015,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10015-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10015-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10015-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10015-3.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14171,simple,,,D2 Micarta Fixed Blade Knife LKFBK10016,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10016-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10016-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10016-3.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14172,simple,,,5Cr13MoV G10 / Stablized Wood Fixed Blade Knife LKFBK10017,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-9.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-8.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-10.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10017-6.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14173,simple,,,D2 Micarta Fixed Blade Knife LKFBK10018,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10018-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10018-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10018-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10018-4.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14174,simple,,,7Cr13 G10 Fixed Blade Knife LKFBK10019,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10019-1.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10019-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10019-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10019-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10019-5.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14175,simple,,,440C G10 Fixed Blade Knife LKFBK10020,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10020-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10020-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10020-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10020-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10020-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10020-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10020-1.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
14176,simple,,,CPM S30V Stablized Wood Fixed Blade Knife LKFBK10021,1,0,visible,"<div class=""woocommerce-product-details__short-description"">
\n<div class=""woocommerce-product-details__short-description"">
\n
\nCustom knives also available in S35VN, 8Cr13MoV, D2, M390, and AUS-8 steels.
\n
\n</div>
\n</div>",,,,taxable,,1,,,0,0,,,,,0,,,,Pocket Knives > Fixed Blade Knives,,,"https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10021-2.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10021-7.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10021-3.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10021-4.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10021-5.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10021-6.jpg, https://img.leeknives.com/wp-content/uploads/2024/02/LKFBK10021-1.jpg",,,,,,,,,0,,,,,,,11,,145,9705,no,,
